"iteration","igraph","network","ggnet2","geomnet","ggnetwork"
1,1.017,2.712,1.627,0.524,0.449
2,0.992000000000001,3.287,1.628,0.644,0.542999999999999
3,0.943999999999999,2.474,1.351,0.502000000000002,0.410999999999998
4,0.956999999999997,2.468,1.352,0.523,0.427000000000003
5,1.013,2.453,1.407,0.525999999999996,0.416000000000004
6,0.993000000000002,2.472,1.348,0.506999999999998,0.420999999999999
7,0.970999999999997,2.468,1.36499999999999,0.557000000000002,0.411999999999999
8,0.955000000000005,2.436,1.411,0.505000000000003,0.419000000000004
9,0.936,2.455,1.356,0.492000000000004,0.427
10,0.947000000000003,2.47,1.392,0.504999999999995,0.415999999999997
